"REGIONE";"PROVINCIA";"COMUNE";"SPECIE";"DATA_SOSPETTO";"DATA_CONFERMA";"LONGITUDINE";"LATITUDINE";"ESITO";"DATA_PRELIEVO";"DATA"
"PIEMONTE";"CN";"CUNEO";"CINGHIALE(SELVATICI)";NA;NA;7.531229;44.476362;"N";2022-03-09;2022-03-09 17:00:00
"PIEMONTE";"CN";"CLAVESANA";"CINGHIALE(SELVATICI)";NA;NA;7.909313;44.490665;"N";2022-03-16;2022-03-16 10:30:00
"PIEMONTE";"CN";"VERDUNO";"CINGHIALE(SELVATICI)";NA;NA;7.92954;44.665612;"N";2022-02-04;2022-02-04 08:00:00
"LOMBARDIA";"PV";"PONTE NIZZA";"SUINI(DOMESTICI)";NA;NA;9.107135;44.864318;"N";2022-02-13;2022-02-14 00:00:00
"LIGURIA";"GE";"GENOVA";"SUINI(DOMESTICI)";NA;NA;8.816839;44.457279;"N";2022-01-23;2022-01-24 00:00:00
"LIGURIA";"GE";"AVEGNO";"SUINI(DOMESTICI)";NA;NA;9.15955;44.38271;"N";2022-04-01;2022-04-02 00:00:00
"PIEMONTE";"AT";"CASTELNUOVO CALCEA";"CINGHIALE(SELVATICI)";NA;NA;8.273539;44.774606;"N";2022-01-24;2022-01-24 11:00:00
"PIEMONTE";"AL";"BASALUZZO";"CINGHIALE(SELVATICI)";NA;NA;8.681271;44.759142;"N";2022-01-23;2022-01-23 12:00:00
"PIEMONTE";"AT";"BRUNO";"CINGHIALE(SELVATICI)";NA;NA;8.445227;44.786692;"N";2022-01-20;2022-01-20 11:00:00
"PIEMONTE";"AL";"ALLUVIONI PIOVERA";"CINGHIALE(SELVATICI)";NA;NA;8.764118;44.994556;"N";2022-01-17;2022-01-17 16:00:00
"PIEMONTE";"CN";"MOROZZO";"SUINI(DOMESTICI)";NA;NA;7.655414;44.423568;"N";2022-05-04;2022-05-04 10:00:00
"LIGURIA";"GE";"GENOVA";"SUINI(DOMESTICI)";NA;NA;8.84687;44.43548;"N";2022-01-14;2022-01-15 00:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;9.002215;44.448509;"N";2022-02-02;2022-02-02 10:40:00
"PIEMONTE";"AL";"RIVARONE";"CINGHIALE(SELVATICI)";NA;NA;8.735553;44.9797;"N";2022-03-23;2022-03-23 13:30:00
"PIEMONTE";"AL";"SILVANO D'ORBA";"CINGHIALE(SELVATICI)";NA;NA;8.67286;44.6621;"N";2022-03-09;2022-03-09 14:30:00
"LIGURIA";"GE";"RECCO";"CINGHIALE(SELVATICI)";NA;NA;9.150312;44.374517;"N";2022-03-18;2022-03-18 12:00:00
"PIEMONTE";"AL";"ACQUI TERME";"CINGHIALE(SELVATICI)";NA;NA;8.483594;44.665977;"N";2022-02-06;2022-02-06 16:00:00
"LIGURIA";"SV";"STELLA";"CINGHIALE(SELVATICI)";NA;NA;8.505519;44.363816;"N";2022-02-25;2022-02-26 00:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.982523;44.391836;"N";2022-02-28;2022-03-01 00:00:00
